R_PPI AIMed_d30 0 *EMPTY*-*EMPTY* token:Isolation|NN|O|-3|-9|root|0 token:of|IN|O|-2|-8|case|3 token:human|JJ|O|-1|-7|amod|3 token:delta-catenin|NN|P1|0|-6|nmod:of|0 token:and|CC|O|1|-5|cc|0 token:its|PRP$|O|2|-4|nmod:poss|7 token:binding|NN|O|3|-3|compound|7 token:specificity|NN|O|4|-2|conj:and|0 token:with|IN|O|5|-1|case|9 token:presenilin|NN|P2|6|0|nmod:with|7 token:1|CD|P2|7|0|nummod|9 token:.|.|O|8|1|| dep_token:delta-catenin|NN|P1|nmod:of|0 dep_token:Isolation|NN|O|root|0 dep_token:specificity|NN|O|conj:and|0 dep_token:presenilin|NN|P2|nmod:with|7 dep_path_len:3 lex_dep_path:GENE_1|<-nmod:of<-w:isol->conj:and->nmod:with->|GENE_2 lex_dep_path:GENE_1|<-nmod:of<-__->conj:and->w:specif->nmod:with->|GENE_2	Isolation of human <1>delta-catenin</1> and its binding specificity with <1>presenilin 1</1>.
NONE AIMed_d45 7 *EMPTY*-*EMPTY* token:The|DT|O|-14|-22|det|2 token:AB|NN|O|-13|-21|compound|2 token:loops|NNS|O|-12|-20|nsubj|6 token:of|IN|O|-11|-19|case|5 token:IFN-gamma|NN|P|-10|-18|compound|5 token:SC1|NN|P|-9|-17|nmod:of|2 token:adopt|VBP|O|-8|-16|root|6 token:conformations|NNS|O|-7|-15|dobj|6 token:similar|JJ|O|-6|-14|amod|7 token:to|TO|O|-5|-13|case|12 token:the|DT|O|-4|-12|det|12 token:ordered|VBN|O|-3|-11|amod|12 token:loops|NNS|O|-2|-10|nmod:to|8 token:of|IN|O|-1|-9|case|14 token:IFN-gamma|NN|P1|0|-8|nmod:of|12 token:observed|VBN|O|1|-7|acl|14 token:in|IN|O|2|-6|case|19 token:the|DT|O|3|-5|det|19 token:crystal|NN|O|4|-4|compound|19 token:structure|NN|O|5|-3|nmod:in|15 token:of|IN|O|6|-2|case|25 token:the|DT|O|7|-1|det|25 token:IFN-gamma/IFN-gamma|NN|P2|8|0|compound|25 token:R|NN|P|9|1|compound|25 token:alpha|NN|P|10|2|compound|25 token:complex|NN|O|11|3|nmod:of|19 token:.|.|O|12|4|| dep_token:IFN-gamma|NN|P1|nmod:of|12 dep_token:observed|VBN|O|acl|14 dep_token:structure|NN|O|nmod:in|15 dep_token:complex|NN|O|nmod:of|19 dep_token:IFN-gamma/IFN-gamma|NN|P2|compound|25 dep_path_len:4 lex_dep_path:GENE_1|->acl->w:observ->nmod:in->nmod:of->compound->|GENE_2 lex_dep_path:GENE_1|->acl->nmod:in->w:structur->nmod:of->compound->|GENE_2 lex_dep_path:GENE_1|->acl->nmod:in->nmod:of->w:complex->compound->|GENE_2	The AB loops of <0>IFN-gamma SC1</0> adopt conformations similar to the ordered loops of <1>IFN-gamma</1> observed in the crystal structure of the <1>IFN-gamma</1>/<0><0>IFN-gamma</0> R alpha</0> complex.
NONE AIMed_d45 7 *EMPTY*-*EMPTY* token:The|DT|O|-14|-22|det|2 token:AB|NN|O|-13|-21|compound|2 token:loops|NNS|O|-12|-20|nsubj|6 token:of|IN|O|-11|-19|case|5 token:IFN-gamma|NN|P|-10|-18|compound|5 token:SC1|NN|P|-9|-17|nmod:of|2 token:adopt|VBP|O|-8|-16|root|6 token:conformations|NNS|O|-7|-15|dobj|6 token:similar|JJ|O|-6|-14|amod|7 token:to|TO|O|-5|-13|case|12 token:the|DT|O|-4|-12|det|12 token:ordered|VBN|O|-3|-11|amod|12 token:loops|NNS|O|-2|-10|nmod:to|8 token:of|IN|O|-1|-9|case|14 token:IFN-gamma|NN|P1|0|-8|nmod:of|12 token:observed|VBN|O|1|-7|acl|14 token:in|IN|O|2|-6|case|19 token:the|DT|O|3|-5|det|19 token:crystal|NN|O|4|-4|compound|19 token:structure|NN|O|5|-3|nmod:in|15 token:of|IN|O|6|-2|case|25 token:the|DT|O|7|-1|det|25 token:IFN-gamma/IFN-gamma|NN|P2|8|0|compound|25 token:R|NN|P|9|1|compound|25 token:alpha|NN|P|10|2|compound|25 token:complex|NN|O|11|3|nmod:of|19 token:.|.|O|12|4|| dep_token:IFN-gamma|NN|P1|nmod:of|12 dep_token:observed|VBN|O|acl|14 dep_token:structure|NN|O|nmod:in|15 dep_token:complex|NN|O|nmod:of|19 dep_token:IFN-gamma/IFN-gamma|NN|P2|compound|25 dep_path_len:4 lex_dep_path:GENE_1|->acl->w:observ->nmod:in->nmod:of->compound->|GENE_2 lex_dep_path:GENE_1|->acl->nmod:in->w:structur->nmod:of->compound->|GENE_2 lex_dep_path:GENE_1|->acl->nmod:in->nmod:of->w:complex->compound->|GENE_2	The AB loops of <0>IFN-gamma SC1</0> adopt conformations similar to the ordered loops of <1>IFN-gamma</1> observed in the crystal structure of the <0>IFN-gamma</0>/<0><1>IFN-gamma</1> R alpha</0> complex.
NONE AIMed_d45 7 *EMPTY*-*EMPTY* token:The|DT|O|-14|-22|det|2 token:AB|NN|O|-13|-21|compound|2 token:loops|NNS|O|-12|-20|nsubj|6 token:of|IN|O|-11|-19|case|5 token:IFN-gamma|NN|P|-10|-18|compound|5 token:SC1|NN|P|-9|-17|nmod:of|2 token:adopt|VBP|O|-8|-16|root|6 token:conformations|NNS|O|-7|-15|dobj|6 token:similar|JJ|O|-6|-14|amod|7 token:to|TO|O|-5|-13|case|12 token:the|DT|O|-4|-12|det|12 token:ordered|VBN|O|-3|-11|amod|12 token:loops|NNS|O|-2|-10|nmod:to|8 token:of|IN|O|-1|-9|case|14 token:IFN-gamma|NN|P1|0|-8|nmod:of|12 token:observed|VBN|O|1|-7|acl|14 token:in|IN|O|2|-6|case|19 token:the|DT|O|3|-5|det|19 token:crystal|NN|O|4|-4|compound|19 token:structure|NN|O|5|-3|nmod:in|15 token:of|IN|O|6|-2|case|25 token:the|DT|O|7|-1|det|25 token:IFN-gamma/IFN-gamma|NN|P2|8|0|compound|25 token:R|NN|P2|9|0|compound|25 token:alpha|NN|P2|10|0|compound|25 token:complex|NN|O|11|1|nmod:of|19 token:.|.|O|12|2|| dep_token:IFN-gamma|NN|P1|nmod:of|12 dep_token:observed|VBN|O|acl|14 dep_token:structure|NN|O|nmod:in|15 dep_token:complex|NN|O|nmod:of|19 dep_token:alpha|NN|P2|compound|25 dep_path_len:4 lex_dep_path:GENE_1|->acl->w:observ->nmod:in->nmod:of->compound->|GENE_2 lex_dep_path:GENE_1|->acl->nmod:in->w:structur->nmod:of->compound->|GENE_2 lex_dep_path:GENE_1|->acl->nmod:in->nmod:of->w:complex->compound->|GENE_2	The AB loops of <0>IFN-gamma SC1</0> adopt conformations similar to the ordered loops of <1>IFN-gamma</1> observed in the crystal structure of the <0>IFN-gamma</0>/<1><0>IFN-gamma</0> R alpha</1> complex.
NONE AIMed_d45 7 *EMPTY*-*EMPTY* token:The|DT|O|-22|-22|det|2 token:AB|NN|O|-21|-21|compound|2 token:loops|NNS|O|-20|-20|nsubj|6 token:of|IN|O|-19|-19|case|5 token:IFN-gamma|NN|P|-18|-18|compound|5 token:SC1|NN|P|-17|-17|nmod:of|2 token:adopt|VBP|O|-16|-16|root|6 token:conformations|NNS|O|-15|-15|dobj|6 token:similar|JJ|O|-14|-14|amod|7 token:to|TO|O|-13|-13|case|12 token:the|DT|O|-12|-12|det|12 token:ordered|VBN|O|-11|-11|amod|12 token:loops|NNS|O|-10|-10|nmod:to|8 token:of|IN|O|-9|-9|case|14 token:IFN-gamma|NN|P|-8|-8|nmod:of|12 token:observed|VBN|O|-7|-7|acl|14 token:in|IN|O|-6|-6|case|19 token:the|DT|O|-5|-5|det|19 token:crystal|NN|O|-4|-4|compound|19 token:structure|NN|O|-3|-3|nmod:in|15 token:of|IN|O|-2|-2|case|25 token:the|DT|O|-1|-1|det|25 token:IFN-gamma/IFN-gamma|NN|P1|0|0|compound|25 token:R|NN|P|1|1|compound|25 token:alpha|NN|P|2|2|compound|25 token:complex|NN|O|3|3|nmod:of|19 token:.|.|O|4|4|| dep_path_len:0	The AB loops of <0>IFN-gamma SC1</0> adopt conformations similar to the ordered loops of <0>IFN-gamma</0> observed in the crystal structure of the <1>IFN-gamma</1>/<0><1>IFN-gamma</1> R alpha</0> complex.
R_PPI AIMed_d45 7 *EMPTY*-*EMPTY* token:The|DT|O|-22|-22|det|2 token:AB|NN|O|-21|-21|compound|2 token:loops|NNS|O|-20|-20|nsubj|6 token:of|IN|O|-19|-19|case|5 token:IFN-gamma|NN|P|-18|-18|compound|5 token:SC1|NN|P|-17|-17|nmod:of|2 token:adopt|VBP|O|-16|-16|root|6 token:conformations|NNS|O|-15|-15|dobj|6 token:similar|JJ|O|-14|-14|amod|7 token:to|TO|O|-13|-13|case|12 token:the|DT|O|-12|-12|det|12 token:ordered|VBN|O|-11|-11|amod|12 token:loops|NNS|O|-10|-10|nmod:to|8 token:of|IN|O|-9|-9|case|14 token:IFN-gamma|NN|P|-8|-8|nmod:of|12 token:observed|VBN|O|-7|-7|acl|14 token:in|IN|O|-6|-6|case|19 token:the|DT|O|-5|-5|det|19 token:crystal|NN|O|-4|-4|compound|19 token:structure|NN|O|-3|-3|nmod:in|15 token:of|IN|O|-2|-2|case|25 token:the|DT|O|-1|-1|det|25 token:IFN-gamma/IFN-gamma|NN|P1|0|0|compound|25 token:R|NN|P2|1|0|compound|25 token:alpha|NN|P2|2|0|compound|25 token:complex|NN|O|3|1|nmod:of|19 token:.|.|O|4|2|| dep_token:IFN-gamma/IFN-gamma|NN|P1|compound|25 dep_token:complex|NN|O|nmod:of|19 dep_token:alpha|NN|P2|compound|25 dep_path_len:2 lex_dep_path:GENE_1|<-compound<-w:complex->compound->|GENE_2	The AB loops of <0>IFN-gamma SC1</0> adopt conformations similar to the ordered loops of <0>IFN-gamma</0> observed in the crystal structure of the <1>IFN-gamma</1>/<1><0>IFN-gamma</0> R alpha</1> complex.
NONE AIMed_d45 7 *EMPTY*-*EMPTY* token:The|DT|O|-22|-22|det|2 token:AB|NN|O|-21|-21|compound|2 token:loops|NNS|O|-20|-20|nsubj|6 token:of|IN|O|-19|-19|case|5 token:IFN-gamma|NN|P|-18|-18|compound|5 token:SC1|NN|P|-17|-17|nmod:of|2 token:adopt|VBP|O|-16|-16|root|6 token:conformations|NNS|O|-15|-15|dobj|6 token:similar|JJ|O|-14|-14|amod|7 token:to|TO|O|-13|-13|case|12 token:the|DT|O|-12|-12|det|12 token:ordered|VBN|O|-11|-11|amod|12 token:loops|NNS|O|-10|-10|nmod:to|8 token:of|IN|O|-9|-9|case|14 token:IFN-gamma|NN|P|-8|-8|nmod:of|12 token:observed|VBN|O|-7|-7|acl|14 token:in|IN|O|-6|-6|case|19 token:the|DT|O|-5|-5|det|19 token:crystal|NN|O|-4|-4|compound|19 token:structure|NN|O|-3|-3|nmod:in|15 token:of|IN|O|-2|-2|case|25 token:the|DT|O|-1|-1|det|25 token:IFN-gamma/IFN-gamma|NN|P1|0|0|compound|25 token:R|NN|P2|1|0|compound|25 token:alpha|NN|P2|2|0|compound|25 token:complex|NN|O|3|1|nmod:of|19 token:.|.|O|4|2|| dep_token:IFN-gamma/IFN-gamma|NN|P1|compound|25 dep_token:complex|NN|O|nmod:of|19 dep_token:alpha|NN|P2|compound|25 dep_path_len:2 lex_dep_path:GENE_1|<-compound<-w:complex->compound->|GENE_2	The AB loops of <0>IFN-gamma SC1</0> adopt conformations similar to the ordered loops of <0>IFN-gamma</0> observed in the crystal structure of the <0>IFN-gamma</0>/<1><1>IFN-gamma</1> R alpha</1> complex.
NONE AIMed_d45 8 *EMPTY*-*EMPTY* token:Thus|RB|O|-2|-2|advmod|8 token:,|,|O|-1|-1|| token:IFN-gamma|NN|P1|0|0|compound|5 token:R|NN|P2|1|0|compound|5 token:alpha|NN|P2|2|0|compound|5 token:binding|NN|O|3|1|nsubj|8 token:does|VBZ|O|4|2|aux|8 token:not|RB|O|5|3|neg|8 token:result|VB|O|6|4|root|8 token:in|IN|O|7|5|case|13 token:a|DT|O|8|6|det|13 token:large|JJ|O|9|7|amod|13 token:conformational|JJ|O|10|8|amod|13 token:change|NN|O|11|9|nmod:in|8 token:in|IN|O|12|10|case|17 token:the|DT|O|13|11|det|17 token:AB|NN|O|14|12|compound|17 token:loop|NN|O|15|13|nmod:in|13 token:as|IN|O|16|14|mark|20 token:previously|RB|O|17|15|advmod|20 token:suggested|VBN|O|18|16|advcl|8 token:.|.|O|19|17|| dep_token:IFN-gamma|NN|P1|compound|5 dep_token:binding|NN|O|nsubj|8 dep_token:alpha|NN|P2|compound|5 dep_path_len:2 lex_dep_path:GENE_1|<-compound<-w:bind->compound->|GENE_2	Thus, <1><1>IFN-gamma</1> R alpha</1> binding does not result in a large conformational change in the AB loop as previously suggested.
NONE AIMed_d45 9 *EMPTY*-*EMPTY* token:The|DT|O|-12|-12|det|1 token:structure|NN|O|-11|-11|nsubj|3 token:also|RB|O|-10|-10|advmod|3 token:reveals|VBZ|O|-9|-9|root|3 token:the|DT|O|-8|-8|det|10 token:final|JJ|O|-7|-7|amod|10 token:six|CD|O|-6|-6|nummod|10 token:C-terminal|JJ|O|-5|-5|amod|10 token:amino|NN|O|-4|-4|compound|10 token:acid|NN|O|-3|-3|compound|10 token:residues|NNS|O|-2|-2|dobj@nsubjpass|22@3 token:of|IN|O|-1|-1|case|13 token:IFN-gamma|NN|P1|0|0|compound|13 token:SC1|NN|P1|0|1|nmod:of|10 token:(|-LRB-|O|1|2|| token:residues|NNS|O|2|3|appos|13 token:253-258|CD|O|3|4|dep|15 token:)|-RRB-|O|4|5|| token:that|WDT|O|5|6|ref|10 token:have|VBP|O|6|7|aux|22 token:not|RB|O|7|8|neg|22 token:been|VBN|O|8|9|auxpass|22 token:observed|VBN|O|9|10|acl:relcl|10 token:in|IN|O|10|11|case|28 token:any|DT|O|11|12|det|28 token:other|JJ|O|12|13|amod|28 token:reported|VBN|O|13|14|amod|28 token:IFN-gamma|NN|P|14|15|compound|28 token:structures|NNS|O|15|16|nmod:in|22 token:.|.|O|16|17|| dep_token:SC1|NN|P1|nmod:of|10 dep_token:IFN-gamma|NN|P1|compound|13 dep_path_len:1	The structure also reveals the final six C-terminal amino acid residues of <1><1>IFN-gamma</1> SC1</1> (residues 253-258) that have not been observed in any other reported <0>IFN-gamma</0> structures.
NONE AIMed_d45 9 *EMPTY*-*EMPTY* token:The|DT|O|-12|-27|det|1 token:structure|NN|O|-11|-26|nsubj|3 token:also|RB|O|-10|-25|advmod|3 token:reveals|VBZ|O|-9|-24|root|3 token:the|DT|O|-8|-23|det|10 token:final|JJ|O|-7|-22|amod|10 token:six|CD|O|-6|-21|nummod|10 token:C-terminal|JJ|O|-5|-20|amod|10 token:amino|NN|O|-4|-19|compound|10 token:acid|NN|O|-3|-18|compound|10 token:residues|NNS|O|-2|-17|dobj@nsubjpass|22@3 token:of|IN|O|-1|-16|case|13 token:IFN-gamma|NN|P1|0|-15|compound|13 token:SC1|NN|P1|0|-14|nmod:of|10 token:(|-LRB-|O|1|-13|| token:residues|NNS|O|2|-12|appos|13 token:253-258|CD|O|3|-11|dep|15 token:)|-RRB-|O|4|-10|| token:that|WDT|O|5|-9|ref|10 token:have|VBP|O|6|-8|aux|22 token:not|RB|O|7|-7|neg|22 token:been|VBN|O|8|-6|auxpass|22 token:observed|VBN|O|9|-5|acl:relcl|10 token:in|IN|O|10|-4|case|28 token:any|DT|O|11|-3|det|28 token:other|JJ|O|12|-2|amod|28 token:reported|VBN|O|13|-1|amod|28 token:IFN-gamma|NN|P2|14|0|compound|28 token:structures|NNS|O|15|1|nmod:in|22 token:.|.|O|16|2|| dep_token:SC1|NN|P1|nmod:of|10 dep_token:residues|NNS|O|dobj@nsubjpass|22@3 dep_token:observed|VBN|O|acl:relcl|10 dep_token:structures|NNS|O|nmod:in|22 dep_token:IFN-gamma|NN|P2|compound|28 dep_path_len:4 lex_dep_path:GENE_1|<-nmod:of<-w:residu->acl:relcl->nmod:in->compound->|GENE_2 lex_dep_path:GENE_1|<-nmod:of<-__->acl:relcl->w:observ->nmod:in->compound->|GENE_2 lex_dep_path:GENE_1|<-nmod:of<-__->acl:relcl->nmod:in->w:structur->compound->|GENE_2	The structure also reveals the final six C-terminal amino acid residues of <1><0>IFN-gamma</0> SC1</1> (residues 253-258) that have not been observed in any other reported <1>IFN-gamma</1> structures.
NONE AIMed_d45 9 *EMPTY*-*EMPTY* token:The|DT|O|-12|-27|det|1 token:structure|NN|O|-11|-26|nsubj|3 token:also|RB|O|-10|-25|advmod|3 token:reveals|VBZ|O|-9|-24|root|3 token:the|DT|O|-8|-23|det|10 token:final|JJ|O|-7|-22|amod|10 token:six|CD|O|-6|-21|nummod|10 token:C-terminal|JJ|O|-5|-20|amod|10 token:amino|NN|O|-4|-19|compound|10 token:acid|NN|O|-3|-18|compound|10 token:residues|NNS|O|-2|-17|dobj@nsubjpass|22@3 token:of|IN|O|-1|-16|case|13 token:IFN-gamma|NN|P1|0|-15|compound|13 token:SC1|NN|P|1|-14|nmod:of|10 token:(|-LRB-|O|2|-13|| token:residues|NNS|O|3|-12|appos|13 token:253-258|CD|O|4|-11|dep|15 token:)|-RRB-|O|5|-10|| token:that|WDT|O|6|-9|ref|10 token:have|VBP|O|7|-8|aux|22 token:not|RB|O|8|-7|neg|22 token:been|VBN|O|9|-6|auxpass|22 token:observed|VBN|O|10|-5|acl:relcl|10 token:in|IN|O|11|-4|case|28 token:any|DT|O|12|-3|det|28 token:other|JJ|O|13|-2|amod|28 token:reported|VBN|O|14|-1|amod|28 token:IFN-gamma|NN|P2|15|0|compound|28 token:structures|NNS|O|16|1|nmod:in|22 token:.|.|O|17|2|| dep_token:IFN-gamma|NN|P1|compound|13 dep_token:SC1|NN|P|nmod:of|10 dep_token:residues|NNS|O|dobj@nsubjpass|22@3 dep_token:observed|VBN|O|acl:relcl|10 dep_token:structures|NNS|O|nmod:in|22 dep_token:IFN-gamma|NN|P2|compound|28 dep_path_len:5 lex_dep_path:GENE_1|<-compound<-w:sc1<-nmod:of<-__->acl:relcl->nmod:in->compound->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:of<-w:residu->acl:relcl->nmod:in->compound->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:of<-__->acl:relcl->w:observ->nmod:in->compound->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:of<-__->acl:relcl->nmod:in->w:structur->compound->|GENE_2	The structure also reveals the final six C-terminal amino acid residues of <0><1>IFN-gamma</1> SC1</0> (residues 253-258) that have not been observed in any other reported <1>IFN-gamma</1> structures.
NONE AIMed_d45 10 *EMPTY*-*EMPTY* token:Despite|IN|O|-5|-5|case|1 token:binding|NN|O|-4|-4|nmod:despite|13 token:to|TO|O|-3|-3|case|7 token:only|RB|O|-2|-2|advmod|4 token:one|CD|O|-1|-1|nummod|7 token:IFN-gamma|NN|P1|0|0|compound|7 token:R|NN|P2|1|0|compound|7 token:alpha|NN|P2|2|0|nmod:to|1 token:,|,|O|3|1|| token:IFN-gamma|NN|P|4|2|compound|10 token:SC1|NN|P|5|3|nsubj|13 token:is|VBZ|O|6|4|cop|13 token:biologically|RB|O|7|5|advmod|13 token:active|JJ|O|8|6|root|13 token:in|IN|O|9|7|case|16 token:cell|NN|O|10|8|compound|16 token:proliferation|NN|O|11|9|nmod:in|13 token:,|,|O|12|10|| token:MHC|NN|O|13|11|compound|19 token:class|NN|O|14|12|compound|21 token:I|CD|O|15|13|nummod|19 token:induction|NN|O|16|14|conj:and@nmod:in|13@16 token:,|,|O|17|15|| token:and|CC|O|18|16|cc|16 token:anti-viral|JJ|O|19|17|amod|25 token:assays|NNS|O|20|18|conj:and@nmod:in|13@16 token:.|.|O|21|19|| dep_token:IFN-gamma|NN|P1|compound|7 dep_token:alpha|NN|P2|nmod:to|1 dep_path_len:1	Despite binding to only one <1><1>IFN-gamma</1> R alpha</1>, <0>IFN-gamma SC1</0> is biologically active in cell proliferation, MHC class I induction, and anti-viral assays.
NONE AIMed_d45 10 *EMPTY*-*EMPTY* token:Despite|IN|O|-5|-9|case|1 token:binding|NN|O|-4|-8|nmod:despite|13 token:to|TO|O|-3|-7|case|7 token:only|RB|O|-2|-6|advmod|4 token:one|CD|O|-1|-5|nummod|7 token:IFN-gamma|NN|P1|0|-4|compound|7 token:R|NN|P|1|-3|compound|7 token:alpha|NN|P|2|-2|nmod:to|1 token:,|,|O|3|-1|| token:IFN-gamma|NN|P2|4|0|compound|10 token:SC1|NN|P2|5|0|nsubj|13 token:is|VBZ|O|6|1|cop|13 token:biologically|RB|O|7|2|advmod|13 token:active|JJ|O|8|3|root|13 token:in|IN|O|9|4|case|16 token:cell|NN|O|10|5|compound|16 token:proliferation|NN|O|11|6|nmod:in|13 token:,|,|O|12|7|| token:MHC|NN|O|13|8|compound|19 token:class|NN|O|14|9|compound|21 token:I|CD|O|15|10|nummod|19 token:induction|NN|O|16|11|conj:and@nmod:in|13@16 token:,|,|O|17|12|| token:and|CC|O|18|13|cc|16 token:anti-viral|JJ|O|19|14|amod|25 token:assays|NNS|O|20|15|conj:and@nmod:in|13@16 token:.|.|O|21|16|| dep_token:IFN-gamma|NN|P1|compound|7 dep_token:alpha|NN|P|nmod:to|1 dep_token:binding|NN|O|nmod:despite|13 dep_token:active|JJ|O|root|13 dep_token:SC1|NN|P2|nsubj|13 dep_path_len:4 lex_dep_path:GENE_1|<-compound<-w:alpha<-nmod:to<-nmod:despite<-__->nsubj->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:to<-w:bind<-nmod:despite<-__->nsubj->|GENE_2 lex_dep_path:GENE_1|<-compound<-nmod:to<-nmod:despite<-w:activ->nsubj->|GENE_2	Despite binding to only one <0><1>IFN-gamma</1> R alpha</0>, <1>IFN-gamma SC1</1> is biologically active in cell proliferation, MHC class I induction, and anti-viral assays.
R_PPI AIMed_d45 10 *EMPTY*-*EMPTY* token:Despite|IN|O|-5|-9|case|1 token:binding|NN|O|-4|-8|nmod:despite|13 token:to|TO|O|-3|-7|case|7 token:only|RB|O|-2|-6|advmod|4 token:one|CD|O|-1|-5|nummod|7 token:IFN-gamma|NN|P1|0|-4|compound|7 token:R|NN|P1|0|-3|compound|7 token:alpha|NN|P1|0|-2|nmod:to|1 token:,|,|O|1|-1|| token:IFN-gamma|NN|P2|2|0|compound|10 token:SC1|NN|P2|3|0|nsubj|13 token:is|VBZ|O|4|1|cop|13 token:biologically|RB|O|5|2|advmod|13 token:active|JJ|O|6|3|root|13 token:in|IN|O|7|4|case|16 token:cell|NN|O|8|5|compound|16 token:proliferation|NN|O|9|6|nmod:in|13 token:,|,|O|10|7|| token:MHC|NN|O|11|8|compound|19 token:class|NN|O|12|9|compound|21 token:I|CD|O|13|10|nummod|19 token:induction|NN|O|14|11|conj:and@nmod:in|13@16 token:,|,|O|15|12|| token:and|CC|O|16|13|cc|16 token:anti-viral|JJ|O|17|14|amod|25 token:assays|NNS|O|18|15|conj:and@nmod:in|13@16 token:.|.|O|19|16|| dep_token:alpha|NN|P1|nmod:to|1 dep_token:binding|NN|O|nmod:despite|13 dep_token:active|JJ|O|root|13 dep_token:SC1|NN|P2|nsubj|13 dep_path_len:3 lex_dep_path:GENE_1|<-nmod:to<-w:bind<-nmod:despite<-__->nsubj->|GENE_2 lex_dep_path:GENE_1|<-nmod:to<-nmod:despite<-w:activ->nsubj->|GENE_2	Despite binding to only one <1><0>IFN-gamma</0> R alpha</1>, <1>IFN-gamma SC1</1> is biologically active in cell proliferation, MHC class I induction, and anti-viral assays.
NONE AIMed_d45 11 *EMPTY*-*EMPTY* token:This|DT|O|-6|-11|nsubj|1 token:suggests|VBZ|O|-5|-10|root|1 token:that|IN|O|-4|-9|mark|8 token:one|CD|O|-3|-8|nummod|4 token:domain|NN|O|-2|-7|nsubj|10@8 token:of|IN|O|-1|-6|case|6 token:IFN-gamma|NN|P1|0|-5|nmod:of|4 token:is|VBZ|O|1|-4|cop|8 token:sufficient|JJ|O|2|-3|ccomp|1 token:to|TO|O|3|-2|mark|10 token:recruit|VB|O|4|-1|xcomp|8 token:IFN-gamma|NN|P2|5|0|compound|13 token:R|NN|P|6|1|compound|13 token:alpha|NN|P|7|2|dobj|10 token:and|CC|O|8|3|cc|13 token:IFN-gamma|NN|P|9|4|compound|17 token:R|NN|P|10|5|compound|17 token:beta|NN|P|11|6|conj:and@dobj|10@13 token:into|IN|O|12|7|case|20 token:a|DT|O|13|8|det|20 token:complex|NN|O|14|9|nmod:into|10 token:competent|JJ|O|15|10|amod|20 token:for|IN|O|16|11|mark|23 token:eliciting|VBG|O|17|12|advcl|21 token:biological|JJ|O|18|13|amod|25 token:activity|NN|O|19|14|dobj|23 token:.|.|O|20|15|| dep_token:IFN-gamma|NN|P1|nmod:of|4 dep_token:domain|NN|O|nsubj|10@8 dep_token:recruit|VB|O|xcomp|8 dep_token:alpha|NN|P|dobj|10 dep_token:IFN-gamma|NN|P2|compound|13 dep_path_len:4 lex_dep_path:GENE_1|<-nmod:of<-w:domain<-nsubj<-__->dobj->compound->|GENE_2 lex_dep_path:GENE_1|<-nmod:of<-nsubj<-w:recruit->dobj->compound->|GENE_2 lex_dep_path:GENE_1|<-nmod:of<-nsubj<-__->dobj->w:alpha->compound->|GENE_2	This suggests that one domain of <1>IFN-gamma</1> is sufficient to recruit <0><1>IFN-gamma</1> R alpha</0> and <0><0>IFN-gamma</0> R beta</0> into a complex competent for eliciting biological activity.
R_PPI AIMed_d45 11 *EMPTY*-*EMPTY* token:This|DT|O|-6|-11|nsubj|1 token:suggests|VBZ|O|-5|-10|root|1 token:that|IN|O|-4|-9|mark|8 token:one|CD|O|-3|-8|nummod|4 token:domain|NN|O|-2|-7|nsubj|10@8 token:of|IN|O|-1|-6|case|6 token:IFN-gamma|NN|P1|0|-5|nmod:of|4 token:is|VBZ|O|1|-4|cop|8 token:sufficient|JJ|O|2|-3|ccomp|1 token:to|TO|O|3|-2|mark|10 token:recruit|VB|O|4|-1|xcomp|8 token:IFN-gamma|NN|P2|5|0|compound|13 token:R|NN|P2|6|0|compound|13 token:alpha|NN|P2|7|0|dobj|10 token:and|CC|O|8|1|cc|13 token:IFN-gamma|NN|P|9|2|compound|17 token:R|NN|P|10|3|compound|17 token:beta|NN|P|11|4|conj:and@dobj|10@13 token:into|IN|O|12|5|case|20 token:a|DT|O|13|6|det|20 token:complex|NN|O|14|7|nmod:into|10 token:competent|JJ|O|15|8|amod|20 token:for|IN|O|16|9|mark|23 token:eliciting|VBG|O|17|10|advcl|21 token:biological|JJ|O|18|11|amod|25 token:activity|NN|O|19|12|dobj|23 token:.|.|O|20|13|| dep_token:IFN-gamma|NN|P1|nmod:of|4 dep_token:domain|NN|O|nsubj|10@8 dep_token:recruit|VB|O|xcomp|8 dep_token:alpha|NN|P2|dobj|10 dep_path_len:3 lex_dep_path:GENE_1|<-nmod:of<-w:domain<-nsubj<-__->dobj->|GENE_2 lex_dep_path:GENE_1|<-nmod:of<-nsubj<-w:recruit->dobj->|GENE_2	This suggests that one domain of <1>IFN-gamma</1> is sufficient to recruit <1><0>IFN-gamma</0> R alpha</1> and <0><0>IFN-gamma</0> R beta</0> into a complex competent for eliciting biological activity.
